Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
Female,22,1.65,60,yes,yes,3,3,Sometimes,no,2,no,1,0,Sometimes,Automobile,Normal_Weight
Female,22,1.6,82,yes,yes,1,1,Sometimes,no,2,no,0,2,Sometimes,Public_Transportation,Obesity_Type_I
Male,21,1.85,68,yes,yes,2,3,Sometimes,no,2,no,0,1,Sometimes,Public_Transportation,Normal_Weight
Male,20,1.6,50,yes,no,2,4,Frequently,yes,2,no,3,2,no,Public_Transportation,Normal_Weight
Male,21,1.7,65,yes,yes,2,1,Frequently,no,2,no,1,2,Always,Walking,Normal_Weight
Female,23,1.6,52,no,yes,2,4,Frequently,no,2,no,2,1,Sometimes,Automobile,Normal_Weight
Male,19,1.75,76,yes,yes,3,3,Sometimes,no,2,yes,3,1,Sometimes,Public_Transportation,Normal_Weight
Male,23,1.68,70,no,yes,2,3,Sometimes,no,2,no,2,2,Frequently,Walking,Normal_Weight
Male,29,1.77,83,no,yes,1,4,Frequently,no,3,no,0,1,no,Motorbike,Overweight_Level_I
Female,31,1.58,68,yes,no,2,1,Sometimes,no,1,no,1,0,Sometimes,Public_Transportation,Overweight_Level_II
Female,24,1.77,76,no,no,2,3,Sometimes,no,3,no,1,1,Sometimes,Walking,Normal_Weight
Male,39,1.79,90,no,no,2,1,Sometimes,no,2,no,0,0,Sometimes,Public_Transportation,Overweight_Level_II
Male,22,1.65,62,no,yes,2,4,Frequently,no,2,no,2,0,Sometimes,Public_Transportation,Normal_Weight
Female,21,1.5,65,yes,no,2,3,Sometimes,no,2,no,2,2,Sometimes,Public_Transportation,Overweight_Level_II
Female,22,1.56,49,no,yes,2,3,Sometimes,no,1,yes,2,0,no,Walking,Normal_Weight
Female,21,1.6,48,no,yes,2,3,Sometimes,no,1,no,1,0,Sometimes,Public_Transportation,Normal_Weight
Male,23,1.65,67,yes,yes,2,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Normal_Weight
Female,21,1.75,88,yes,yes,2,3,Sometimes,no,3,no,3,0,Sometimes,Public_Transportation,Overweight_Level_II
Female,21,1.67,75,yes,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Male,23,1.68,60,no,no,2,4,Frequently,no,2,no,0,0,no,Walking,Normal_Weight
Female,21,1.66,64,yes,yes,1,3,Sometimes,no,1,no,0,0,no,Public_Transportation,Normal_Weight
Male,21,1.66,62,yes,yes,2,3,Sometimes,yes,2,no,1,1,Frequently,Public_Transportation,Normal_Weight
Male,21,1.81,80,no,no,1,3,no,no,2,no,2,0,no,Public_Transportation,Normal_Weight
Female,21,1.53,65,yes,no,2,3,Sometimes,no,1,no,0,1,no,Public_Transportation,Overweight_Level_II
Male,21,1.82,72,yes,yes,1,3,Frequently,no,3,no,2,0,Sometimes,Public_Transportation,Normal_Weight
Male,21,1.75,72,yes,yes,1,3,Frequently,no,3,no,2,0,Sometimes,Public_Transportation,Normal_Weight
Female,20,1.66,60,yes,no,3,3,Sometimes,no,2,no,1,0,Sometimes,Walking,Normal_Weight
Female,21,1.55,50,no,yes,2,3,Sometimes,no,2,no,0,0,Sometimes,Public_Transportation,Normal_Weight
Female,21,1.61,54.5,yes,yes,3,3,Sometimes,no,3,no,0,1,Sometimes,Walking,Normal_Weight
Female,20,1.5,44,no,yes,2,3,Sometimes,no,1,no,0,0,Sometimes,Automobile,Normal_Weight
Female,23,1.64,52,no,yes,3,1,Sometimes,no,2,no,2,2,no,Public_Transportation,Normal_Weight
Female,23,1.63,55,yes,no,3,3,no,no,2,yes,2,1,no,Public_Transportation,Normal_Weight
Female,22,1.6,55,no,no,3,4,Always,no,3,no,2,0,no,Public_Transportation,Normal_Weight
Male,23,1.68,62,no,no,2,4,Frequently,no,2,no,0,0,Sometimes,Automobile,Normal_Weight
Male,22,1.7,70,yes,yes,2,3,Sometimes,no,1,no,0,1,Sometimes,Automobile,Normal_Weight
Male,21,1.64,65,yes,no,2,3,Sometimes,no,1,no,0,1,no,Public_Transportation,Normal_Weight
Female,17,1.65,67,yes,yes,3,1,Sometimes,no,2,no,1,1,no,Walking,Normal_Weight
Male,20,1.76,55,yes,yes,2,4,Sometimes,no,3,no,2,2,no,Public_Transportation,Insufficient_Weight
Female,21,1.55,49,yes,yes,2,3,Sometimes,no,3,no,3,1,Sometimes,Public_Transportation,Normal_Weight
Male,20,1.65,58,no,yes,2,3,Sometimes,no,2,no,3,1,Sometimes,Public_Transportation,Normal_Weight
Male,22,1.67,62,no,yes,2,1,no,no,2,no,0,0,Sometimes,Public_Transportation,Normal_Weight
Male,22,1.68,55,yes,yes,2,3,Sometimes,no,2,no,0,2,Sometimes,Automobile,Normal_Weight
Female,21,1.66,57,yes,yes,2,3,Frequently,no,1,no,1,1,no,Public_Transportation,Normal_Weight
Female,21,1.62,69,yes,yes,1,3,Frequently,no,2,no,0,1,no,Public_Transportation,Overweight_Level_I
Male,23,1.8,90,yes,yes,1,3,Always,no,2,no,0,2,Frequently,Public_Transportation,Overweight_Level_II
Male,23,1.65,95,yes,yes,2,3,Always,no,2,no,0,1,Frequently,Automobile,Obesity_Type_I
Male,30,1.76,112,yes,yes,1,3,no,yes,2,yes,0,0,Frequently,Automobile,Obesity_Type_II
Male,23,1.8,60,yes,no,2,3,no,no,3,no,0,1,Sometimes,Public_Transportation,Normal_Weight
Female,23,1.65,80,yes,yes,2,3,Always,no,2,no,0,2,no,Public_Transportation,Overweight_Level_II
Female,22,1.67,50,yes,no,3,3,no,no,3,yes,2,1,Sometimes,Public_Transportation,Insufficient_Weight
Female,24,1.65,60,yes,no,2,3,Sometimes,no,3,yes,1,0,no,Public_Transportation,Normal_Weight
Male,19,1.85,65,yes,no,2,3,Sometimes,no,3,no,2,1,Sometimes,Bike,Normal_Weight
Male,24,1.7,85,yes,yes,2,3,Frequently,no,3,no,0,1,Frequently,Public_Transportation,Overweight_Level_II
Female,23,1.63,45,yes,no,3,3,Sometimes,no,3,yes,2,0,no,Public_Transportation,Insufficient_Weight
Female,24,1.6,45,yes,no,2,3,no,no,2,no,1,0,no,Public_Transportation,Insufficient_Weight
Female,24,1.7,80,yes,yes,2,3,Sometimes,no,3,no,0,0,no,Public_Transportation,Overweight_Level_II
Female,23,1.65,90,yes,yes,2,3,Sometimes,no,3,no,0,1,no,Public_Transportation,Obesity_Type_I
Male,23,1.65,60,yes,no,2,3,Sometimes,no,2,no,0,0,Sometimes,Public_Transportation,Normal_Weight
Female,19,1.63,58,no,no,3,3,Sometimes,no,2,yes,0,0,no,Public_Transportation,Normal_Weight
Male,30,1.8,91,yes,yes,2,3,Frequently,no,2,no,0,0,Sometimes,Public_Transportation,Overweight_Level_II
Male,23,1.67,85.5,yes,yes,2,3,Always,no,2,no,0,1,no,Public_Transportation,Obesity_Type_I
Female,19,1.6,45,no,no,3,3,no,no,3,yes,2,0,no,Walking,Insufficient_Weight
Male,25,1.7,83,yes,yes,2,3,Frequently,no,2,no,0,1,Sometimes,Public_Transportation,Overweight_Level_II
Male,23,1.65,58.5,yes,no,2,3,Sometimes,no,2,no,0,0,no,Public_Transportation,Normal_Weight
Male,21,1.85,83,yes,yes,2,1,Frequently,no,3,no,1,0,no,Public_Transportation,Normal_Weight
Male,19,1.82,87,yes,yes,2,3,Sometimes,no,2,no,0,0,no,Public_Transportation,Overweight_Level_I
Female,22,1.65,65,yes,yes,2,3,Frequently,no,2,yes,1,0,no,Automobile,Normal_Weight
Female,29,1.7,78,yes,yes,3,3,Sometimes,no,1,no,2,1,Frequently,Automobile,Overweight_Level_II
Female,25,1.63,93,no,no,3,4,Always,no,1,no,2,0,no,Public_Transportation,Obesity_Type_II
Female,20,1.61,64,yes,no,3,3,Always,no,2,yes,0,1,Frequently,Public_Transportation,Normal_Weight
Male,55,1.78,84,yes,no,3,4,Frequently,no,3,yes,3,0,Frequently,Walking,Overweight_Level_I
Female,20,1.6,57,no,no,3,3,Always,no,2,no,1,0,no,Walking,Normal_Weight
Female,24,1.6,48,no,yes,3,3,Sometimes,no,2,no,2,0,no,Public_Transportation,Normal_Weight
Male,26,1.7,70,yes,no,3,1,Frequently,no,2,no,2,0,Frequently,Public_Transportation,Normal_Weight
Female,23,1.66,60,yes,no,2,3,Sometimes,no,2,no,3,0,Sometimes,Public_Transportation,Normal_Weight
Female,21,1.52,42,no,no,3,1,Frequently,no,1,no,0,0,Sometimes,Public_Transportation,Insufficient_Weight
Female,21,1.52,42,no,no,3,1,Frequently,no,1,no,0,0,Sometimes,Public_Transportation,Insufficient_Weight
Male,23,1.72,70,no,no,2,3,Sometimes,no,2,no,3,1,Frequently,Public_Transportation,Normal_Weight
Female,21,1.69,63,no,yes,3,1,Sometimes,no,1,no,0,0,Sometimes,Public_Transportation,Normal_Weight
Male,22,1.7,66.4,yes,no,2,3,Frequently,no,2,no,0,0,no,Public_Transportation,Normal_Weight
Female,21,1.55,57,no,yes,2,4,Frequently,no,2,yes,2,0,Sometimes,Automobile,Normal_Weight
Female,22,1.65,58,yes,yes,3,4,Frequently,no,2,no,1,0,Sometimes,Public_Transportation,Normal_Weight
Female,38,1.56,80,yes,yes,2,3,Sometimes,no,2,no,0,0,Sometimes,Automobile,Obesity_Type_I
Female,25,1.57,55,no,yes,2,1,Sometimes,no,2,no,2,0,Sometimes,Public_Transportation,Normal_Weight
Female,25,1.57,55,no,yes,2,1,Sometimes,no,2,no,2,0,Sometimes,Public_Transportation,Normal_Weight
Male,22,1.88,90,yes,yes,2,3,Always,no,1,no,0,1,Sometimes,Automobile,Overweight_Level_I
Male,22,1.75,95,yes,no,2,3,Sometimes,no,3,no,3,2,no,Walking,Obesity_Type_I
Female,21,1.65,88,yes,yes,3,1,Sometimes,no,3,no,2,1,no,Public_Transportation,Obesity_Type_I
Male,21,1.75,75,yes,yes,3,3,Sometimes,no,2,no,0,1,Sometimes,Public_Transportation,Normal_Weight
Female,22,1.58,58,yes,yes,2,1,Sometimes,no,1,no,0,0,no,Public_Transportation,Normal_Weight
Female,18,1.56,51,yes,yes,2,4,Frequently,no,2,no,1,0,Sometimes,Public_Transportation,Normal_Weight
Female,22,1.5,49,yes,no,2,1,Sometimes,no,2,no,3,0,no,Walking,Normal_Weight
Female,19,1.61,62,yes,yes,3,1,Frequently,no,2,no,1,0,Frequently,Public_Transportation,Normal_Weight
Female,17,1.75,57,yes,yes,3,3,Frequently,no,2,no,0,1,no,Public_Transportation,Normal_Weight
Female,15,1.65,86,yes,yes,3,3,Sometimes,no,1,no,3,2,no,Walking,Obesity_Type_I
Female,17,1.7,85,yes,no,2,3,Frequently,no,2,no,1,1,no,Public_Transportation,Overweight_Level_II
Male,23,1.62,53,yes,yes,2,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Normal_Weight
Female,19,1.63,76,yes,no,3,3,Frequently,yes,3,no,2,1,Sometimes,Automobile,Overweight_Level_II
Female,23,1.67,75,yes,yes,2,3,Frequently,yes,2,no,0,2,no,Walking,Overweight_Level_I
Male,23,1.87,95,yes,yes,1,3,Frequently,no,2,no,0,2,Frequently,Public_Transportation,Overweight_Level_II
Male,21,1.75,50,yes,no,3,4,Frequently,no,1,no,1,0,no,Walking,Insufficient_Weight
Male,24,1.66,67,yes,yes,3,1,Sometimes,no,2,no,1,0,no,Public_Transportation,Normal_Weight
Male,23,1.76,90,no,yes,3,3,Sometimes,no,1,no,0,0,no,Public_Transportation,Overweight_Level_II
Male,18,1.75,80,yes,yes,2,3,Always,no,2,no,0,0,Frequently,Public_Transportation,Overweight_Level_I
Male,19,1.67,68,no,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Public_Transportation,Normal_Weight
Female,19,1.65,61,no,yes,3,1,Sometimes,no,3,yes,1,0,Sometimes,Public_Transportation,Normal_Weight
Male,20,1.72,70,yes,yes,3,3,Frequently,no,1,no,0,0,Sometimes,Public_Transportation,Normal_Weight
Male,27,1.7,78,no,yes,3,3,Sometimes,no,3,no,1,1,Frequently,Public_Transportation,Overweight_Level_II
Female,20,1.58,53,yes,yes,2,4,Frequently,no,2,no,1,1,no,Public_Transportation,Normal_Weight
Male,23,1.62,58,no,no,2,3,Sometimes,no,1,no,1,0,no,Public_Transportation,Normal_Weight
Female,19,1.65,56,yes,yes,3,3,Frequently,yes,3,yes,1,2,Frequently,Public_Transportation,Normal_Weight
Female,61,1.65,66,no,yes,3,3,Always,no,2,no,1,1,Frequently,Public_Transportation,Normal_Weight
Male,30,1.77,109,yes,yes,3,3,Sometimes,no,1,no,2,0,Sometimes,Automobile,Obesity_Type_I
Male,24,1.7,75,yes,yes,2,3,Sometimes,no,2,no,1,0,Sometimes,Automobile,Overweight_Level_I
Male,25,1.79,72,yes,yes,2,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Normal_Weight
Male,44,1.6,80,yes,no,2,3,Sometimes,yes,3,no,0,0,no,Motorbike,Obesity_Type_I
Male,31,1.76,75,yes,no,3,3,Always,no,3,yes,3,0,no,Bike,Normal_Weight
Male,25,1.7,68,no,yes,2,3,Frequently,no,2,no,0,1,no,Public_Transportation,Normal_Weight
Male,23,1.89,65,yes,yes,3,3,Frequently,no,3,no,1,1,Sometimes,Public_Transportation,Insufficient_Weight
Male,25,1.87,66,no,yes,3,3,Always,no,2,no,2,0,Frequently,Public_Transportation,Normal_Weight
Male,23,1.74,93.5,no,yes,2,3,Frequently,yes,1,no,1,1,Frequently,Automobile,Obesity_Type_I
Female,34,1.68,75,no,yes,3,1,Sometimes,no,1,no,0,0,Sometimes,Automobile,Overweight_Level_I
Male,22,1.61,67,yes,no,2,4,Sometimes,no,3,yes,2,2,Sometimes,Public_Transportation,Overweight_Level_I
Male,21,1.62,70,no,yes,2,1,no,no,3,no,1,0,Sometimes,Public_Transportation,Overweight_Level_I
Female,24,1.56,51,no,no,3,3,Frequently,no,2,no,2,2,Frequently,Public_Transportation,Normal_Weight
Female,36,1.63,80,yes,no,3,3,Sometimes,no,1,no,0,0,Sometimes,Automobile,Obesity_Type_I
